Sample ID;pH;EC [µS/cm];TDS [mg/L];Hard [mg/L];Alk [mg/L];Cl [mg/L];NO3 [mg/L];PO4 [mg/L];SO4 [mg/L];F [mg/L];NO2 [mg/L];Na [mg/L];K [mg/L];Ca [mg/L];Mg [mg/L];NH4 [mg/L];Li [mg/L];Silica [mg/L];COD [mg/L];BOD [mg/L];B  [µg/L];Al [µg/L];V [µg/L];Cr [µg/L];Mn [µg/L];Fe [µg/L];Co [µg/L];Ni [µg/L];Cu [µg/L];Zn [µg/L];As [µg/L];Se [µg/L];Sr [µg/L];Cd [µg/L];Ba [µg/L];Pb [µg/L];U [µg/L]
F 1.1;5.75;409;261.76;185.205;201;2.228;0.964;BDL;2.889;0.373;0.656;17.671;4.112;46.299;16.936;0.127;BDL;12.79;4.416;NA;20.71824138;11.46456762;4.727977594;0.173726764;13.61391643;43.38637788;0.06786137;1.517031666;2.928222037;207.9692;1.156157932;1.987608104;350.4473619;0.143475125;135.3480745;1.262191631;10.60925296
F 1.2;5.97;954;610.56;333.409;251.4;29.8;130.439;BDL;35.176;0.639;0.78;82.737;5.762;88.232;27.527;0.28;BDL;12.79;23.52;NA;30.0869537;47.89438388;1.21905589;0.316077073;53.50559537;270.0781701;0.161780288;0.970292173;1.138543717;32.09722745;0.384484299;1.608980827;225.509925;0.093843927;172.5853408;0.589513344;3.351076819
F 1.3;5.93;380;243.2;180.008;154.6;1.632;4.882;BDL;2.623;0.361;0.05;16.09;3.13;45.24;10.371;0.144;BDL;12.79;11.76;NA;18.61673388;11.67406952;3.637626672;0.349201398;67.61070586;118.2907296;0.354570572;1.034965543;0.74540665;77.95494373;0.734754716;1.191418064;131.2743638;0.045116509;264.8740142;4.582596056;3.619929916
F 10.1;6.77;830;531.2;356.086;297.8;5.708;3.76;BDL;5.848;0.114;0.048;40.04;4.59;77.53;23.46;0.547;BDL;15.03;17.664;NA;37.97028081;27.89432742;1.540940427;0.5921867;110.4990802;108.7306937;0.153974607;3.477088117;4.896328922;391.9001265;0.545019039;7.177328659;254.2868998;0.459666036;202.9812691;6.043841583;4.354671492
F 10.2;6.82;716;458.24;347.081;283.6;3.911;1.244;BDL;5.971;0.41;0.084;30.83;4.9;62.61;30.74;0.551;BDL;13.82;11.44;NA;27.92112989;7.853253528;0.934809752;0.223764086;89.94252121;340.6450488;0.229223349;1.305200423;0.735178096;548.8483811;0.69604238;0.773855301;432.274923;0.049627889;231.8209107;0.8732934;12.69264554
F 10.3;7.28;1682;1076.48;552.682;424.6;107.986;1.017;0.573;27.313;0.779;0.109;109.75;64.26;80.9;45.55;43.178;BDL;15.27;80.08;5.4;59.39532268;15.08533096;2.827845153;0.377071184;253.6701092;142.8941423;0.534623311;1.243144465;1.414492441;70.87594967;3.590690157;0.122473646;501.3085379;0.058952311;145.5831256;0.980277748;4.430989802
F 10.4;6.62;1465;937.6;883.367;493;160.479;17.953;BDL;47.73;0.763;2.533;81.43;15.79;179.01;75.01;2.134;BDL;18.51;11.44;NA;55.02222364;8.365869555;3.415314434;0.135149104;86.6060772;28.07350941;0.221676481;0.242425857;1.00041143;15.7433088;1.194235245;0.205989539;871.1126121;0.037296483;382.8675891;0.320472248;20.86992179
F 11.1;6.87;654;418.56;254.328;311.2;9.014;0.148;BDL;3.697;0.556;ND;34.782;6.4;55.032;28.441;ND;BDL;5.67;7.39;NA;34.79122857;24.93884511;2.359617904;0.613753751;56.89737879;53.60043413;0.074943582;1.906759652;4.128749951;36.5954227;0.344510163;0.038968887;517.1905419;0.399789794;256.1394655;4.623485993;15.87965501
F 11.2;6.76;1477;945.28;621.807;473;106.191;36.708;BDL;80.689;0.586;ND;97.56;37.079;138.505;67.135;0.581;BDL;13.82;3.69;NA;64.74333706;13.51275644;1.077564233;0.121065166;119.7547871;31.28291379;0.214854131;0.899638059;1.755996816;29.08605135;0.287406248;1.20813015;1040.231953;0.044514691;238.9911096;0.239602506;25.02642065
F 11.3;6.79;1491;954.24;642.175;351.8;125.357;63.365;BDL;79.976;0.131;0.139;105.76;12.79;125.22;60.84;0.435;BDL;12.4;11.88;NA;81.14887601;5.177348572;0.616143202;0.085645862;21.81154025;38.96267463;0.166241333;0.828270323;0.884293025;4.61423996;0.117368991;0.139180165;859.2445428;0.025264932;265.056081;0.213161885;36.56448308
