order;parameter;unit;pre monsoon;post monsoon;average;based on N samples per location;river;sample;year(s) data;source short;source;remarks
1;pH;;;;8.50;1;Hindon;HS-15;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
2;EC;?s/cm;;;1082.00;1;Hindon;HS-15;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
3;DO;mg/l;;;0.80;1;Hindon;HS-15;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
4;BOD;mg/l;;;240.00;1;Hindon;HS-15;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
5;Cl;mg/l;;;97.00;1;Hindon;HS-15;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
6;Pb;?g/l;;;40.00;1;Hindon;HS-15;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
7;Cr;?g/l;;;12250.00;1;Hindon;HS-15;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;changed mg/l > ?g/l * 1000 (I have doubts if Lewis correctly measured this and it is not ?g/l instead of mg/l, in groundwater it is indeed ppb)
8;Cd;?g/l;;;0.50;1;Hindon;HS-15;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;BDL -> 0.0005 mg/L (lowest value not BDL is 0.001 -> take half), mg/l *1000 -> microg/L ->  0.5
9;pH;;;;8.60;1;Kali;KS-3;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
10;EC;?s/cm;;;520.00;1;Kali;KS-3;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
11;DO;mg/l;;;2.40;1;Kali;KS-3;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
12;BOD;mg/l;;;14.00;1;Kali;KS-3;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
13;Cl;mg/l;;;27.00;1;Kali;KS-3;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
14;Pb;?g/l;;;700.00;1;Kali;KS-3;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
15;Cr;?g/l;;;2830.00;1;Kali;KS-3;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;changed mg/l > ?g/l * 1000 (I have doubts if Lewis correctly measured this and it is not ?g/l instead of mg/l, in groundwater it is indeed ppb)
16;Cd;?g/l;;;2.00;1;Kali;KS-3;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
17;pH;;;;7.30;1;Krishni;KrS-6;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
18;EC;?s/cm;;;2365.00;1;Krishni;KrS-6;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
19;DO;mg/l;;;0.10;1;Krishni;KrS-6;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;Nil -> 0.1 (lowest non Nil = 0.8)
20;BOD;mg/l;;;1120.00;1;Krishni;KrS-6;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
21;COD;mg/l;;;1600.00;1;Krishni;KrS-6;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
22;Cl;mg/l;;;250.00;1;Krishni;KrS-6;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
23;Pb;?g/l;;;160.00;1;Krishni;KrS-6;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
24;Cr;?g/l;;;3250.00;1;Krishni;KrS-6;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;changed mg/l > ?g/l * 1000 (I have doubts if Lewis correctly measured this and it is not ?g/l instead of mg/l, in groundwater it is indeed ppb)
25;Cd;?g/l;;;2.00;1;Krishni;KrS-6;?;Lewis, 2007;Lewis, H. (2007). Hindon river: gasping for breath. Janhit Foundation, Meerut, Uttar Pradesh.;
26;pH;;dry;7.5;7.50;2;Hindon;RH-5;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
27;EC;?s/cm;dry;1648;1648.00;2;Hindon;RH-5;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
28;DO;mg/l;dry;0;0.00;2;Hindon;RH-5;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
29;BOD;mg/l;dry;129;129.00;2;Hindon;RH-5;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
30;COD;mg/l;dry;302;302.00;2;Hindon;RH-5;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
31;TDS;mg/l;dry;1055;1055.00;2;Hindon;RH-5;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
32;Hardness;mg/l;dry;420;420.00;2;Hindon;RH-5;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
33;Alkalinity;mg/l;dry;700;700.00;2;Hindon;RH-5;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
34;Ca;mg/l;dry;92;92.00;2;Hindon;RH-5;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
35;Mg;mg/l;dry;46;46.00;2;Hindon;RH-5;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
36;pH;;7.4;7.3;7.35;2;Kali;K-1;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
37;EC;?s/cm;1410;330;870.00;2;Kali;K-1;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
38;DO;mg/l;0.4;1.5;0.95;2;Kali;K-1;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
39;BOD;mg/l;56;0.1;28.05;2;Kali;K-1;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
40;COD;mg/l;72;56;64.00;2;Kali;K-1;2012;Sharma et al, 2014;Sharma, M. K., Jain, C. K., & Singh, O. (2014). Characterization of point sources and water quality assessment of river Hindon using water quality index. Journal of Indian Water Resources Society, 34(1), 53-64.;
