Sample ID,x,y,CreationDate,Location,depth [feet],depth [m],Elevation surface [mMSL] Hydrosheds,depth [mMSL],Type of water,Type,Landuse,group,distance startpoint Yamuna [m],distance to canal [m],close to industry,EC value [microS/cm],field pH,Temperature,field NO3 [mg/L],field NO2 [mg/L],Remarks,pH,EC [µS/cm],TDS [mg/L],Hard [mg/L],Alk [mg/L],Cl [mg/L],NO3 [mg/L],SO4 [mg/L],F [mg/L],NO2 [mg/L],Na [mg/L],K [mg/L],Ca [mg/L],Mg [mg/L],NH4 [mg/L],Silica [mg/L],COD [mg/L],B  [µg/L],Al [µg/L],V [µg/L],Cr [µg/L],Mn [µg/L],Fe [µg/L],Co [µg/L],Ni [µg/L],Cu [µg/L],Zn [µg/L],As [µg/L],Se [µg/L],Sr [µg/L],Cd [µg/L],Ba [µg/L],Pb [µg/L],U [µg/L],dO18,dD,cluster,sum anions [mEq/L],sum cations [mEq/L],an/cat_diff%
F 1.1,77.52272532,29.44261327,3-1-2023 05:08,1,200,61.0,239,178.0,GW,deep tubewell,agriculture,agri deep,44680,2101.7,,354.0,7.47,24.1,2.0,0.15,Sample 1.1. Handpump next to road in between agricultural fields. Approx. 200 feet deep tubewell.,5.75,409.0,261.76,185.205,201.0,2.228,0.964,2.889,0.373,0.656,17.671,4.112,46.299,16.936,0.127,12.79,4.416,20.71824138,11.46456762,4.727977594,0.173726764,13.61391643,43.38637788,0.06786137,1.517031666,2.928222037,207.9692,1.156157932,1.987608104,350.4473619,0.143475125,135.3480745,1.262191631,10.60925296,-8.16,-57.72,3,4.192446340000001,4.58489788,4.471187755241059
F 1.2,77.52640233,29.46100047,3-1-2023 06:23,1,80,24.4,240,215.6,GW,shallow tubewell,village,village shallow,43956,2138.7,,898.0,7.45,25.6,25.0,0.0,shallow tube well sample number 1.2. lots of shiny sediments. use for drinking water 30%. used to be 100%  80 feet deep. also other handpump that they use less because of that is degraded,5.97,954.0,610.56,333.409,251.4,29.8,130.439,35.176,0.639,0.78,82.737,5.762,88.232,27.527,0.28,12.79,23.52,30.0869537,47.89438388,1.21905589,0.316077073,53.50559537,270.0781701,0.161780288,0.970292173,1.138543717,32.09722745,0.384484299,1.608980827,225.509925,0.093843927,172.5853408,0.589513344,3.351076819,-7.51,-50.08,1,8.755597550000001,10.42994829,8.727146748721323
F 1.3,77.52657007,29.46108933,3-1-2023 06:18,1,240,73.2,240,166.8,GW,deep tubewell,village,village deep,43966,2127.2,,346.0,7.78,26.3,2.0,0.15,Approx. 240 feet deep tubewell at the edge of the village. Only 1 year old. sample 1.3. The water is clear. The tubewell is located next to wheat crops.,5.93,380.0,243.2,180.008,154.6,1.632,4.882,2.623,0.361,0.05,16.09,3.13,45.24,10.371,0.144,12.79,11.76,18.61673388,11.67406952,3.637626672,0.349201398,67.61070586,118.2907296,0.354570572,1.034965543,0.74540665,77.95494373,0.734754716,1.191418064,131.2743638,0.045116509,264.8740142,4.582596056,3.619929916,-8.22,-52.3,3,3.29148628,3.89886935,8.447190949302184
F 10.1,77.60200953,29.39921437,3-2-2023 11:32,10,240,73.2,242,168.8,GW,deep tubewell,agriculture,agri deep,53754,987.6,,794.0,7.29,24.8,2.0,0.3,Deep tubewell approx 240 feet deep. Located at a small and simple sugercane factory. ,6.77,830.0,531.2,356.086,297.8,5.708,3.76,5.848,0.114,0.048,40.04,4.59,77.53,23.46,0.547,15.03,17.664,37.97028081,27.89432742,1.540940427,0.5921867,110.4990802,108.7306937,0.153974607,3.477088117,4.896328922,391.9001265,0.545019039,7.177328659,254.2868998,0.459666036,202.9812691,6.043841583,4.354671492,-7.07,-46.59,3,6.30647132,7.68874828,9.876779354001709
F 10.2,77.58909803,29.40421883,3-2-2023 12:14,10,240,73.2,243,169.8,GW,deep tubewell,village,village deep,52397,2251.3,,683.0,7.43,24.8,0.0,0.0,deep tubewell of approx. 240 feet deep. located next to shallow tubewell of 135 feet deep. this sample (F10.2) is of the is deep one. The shallow (F10.4) water quality is not good. The taste is bad since 5 years and degrading. All other shallow well fell dry. Currently the shallow is not available because of no electricity due to power cut (it has a submerged pump). These tubewells are located 30 m from waste water bog.,6.82,716.0,458.24,347.081,283.6,3.911,1.244,5.971,0.41,0.084,30.83,4.9,62.61,30.74,0.551,13.82,11.44,27.92112989,7.853253528,0.934809752,0.223764086,89.94252121,340.6450488,0.229223349,1.305200423,0.735178096,548.8483811,0.69604238,0.773855301,432.274923,0.049627889,231.8209107,0.8732934,12.69264554,-8.09,-53.55,3,5.95011981,7.1508280399999995,9.165048542651814
F 10.3,77.59097438,29.40430663,3-2-2023 12:21,10,0,0.0,242,242.0,SW,village pond,pond,pond,52546,2124.0,,1581.0,8.56,24.5,0.0,0.0,"big village pond filled with waste water. sample F10.3. Many small insects in water, probably mosquitos larvee I assume.",7.28,1682.0,1076.48,552.682,424.6,107.986,1.017,27.313,0.779,0.109,109.75,64.26,80.9,45.55,43.178,15.27,80.08,59.39532268,15.08533096,2.827845153,0.377071184,253.6701092,142.8941423,0.534623311,1.243144465,1.414492441,70.87594967,3.590690157,0.122473646,501.3085379,0.058952311,145.5831256,0.980277748,4.430989802,-6.44,-46.79,village pond,12.16672215,16.59690362,15.402027218072792
F 10.4,77.58903463,29.40417359,3-2-2023 12:40,10,135,41.1,243,201.9,GW,shallow tubewell,village,village shallow,52394,2252.6,,1371.0,7.045,25.2,10.0,0.3,"shallow tubewell approx. 135 feet deep. The water is from a water tank at the roof. because power was out, it was not possible to directly sample the water from this tubewell. ",6.62,1465.0,937.6,883.367,493.0,160.479,17.953,47.73,0.763,2.533,81.43,15.79,179.01,75.01,2.134,18.51,11.44,55.02222364,8.365869555,3.415314434,0.135149104,86.6060772,28.07350941,0.221676481,0.242425857,1.00041143,15.7433088,1.194235245,0.205989539,871.1126121,0.037296483,382.8675891,0.320472248,20.86992179,-6.02,-41.07,1,15.76566482,19.16959406,9.743535182298904
F 11.1,77.50392562,29.45791773,3-14-2023 5:47:04,11,165,50.3,239,188.7,GW,deep tubewell,village,village deep,42240,4116.8,,609.0,7.8,27.5,1.0,0.1,Tubewell approx. 165 feet deep.The water quality is bad. It is first clear but changes colour to brown after an hour we are told. see colour bucket. Water is used for all purposes incl drinking water. sample F11.1,6.87,654.0,418.56,254.328,311.2,9.014,0.148,3.697,0.556,0.005,34.782,6.4,55.032,28.441,0.025,5.67,7.39,34.79122857,24.93884511,2.359617904,0.613753751,56.89737879,53.60043413,0.074943582,1.906759652,4.128749951,36.5954227,0.344510163,0.038968887,517.1905419,0.399789794,256.1394655,4.623485993,15.87965501,-7.47,-50.24,3,6.58702026,6.76462169,1.3301841875710287
F 11.2,77.503877,29.45779932,3-14-2023 6:24:18,11,75,22.9,239,216.1,GW,shallow tubewell,village,village shallow,42243,4118.2,,1360.0,7.36,24.4,20.0,0.0,"shallow tubewell in house approx. 70 to 80 feet deep. The water is not used for drinking, they use a deeper with submerged pump for drinking. The water quality is not too bad they say, colour and taste are a little bad. sample 11.2",6.76,1477.0,945.28,621.807,473.0,106.191,36.708,80.689,0.586,0.005,97.56,37.079,138.505,67.135,0.581,13.82,3.69,64.74333706,13.51275644,1.077564233,0.121065166,119.7547871,31.28291379,0.214854131,0.899638059,1.755996816,29.08605135,0.287406248,1.20813015,1040.231953,0.044514691,238.9911096,0.239602506,25.02642065,-6.33,-35.94,1,14.75864887,17.66049011,8.951012677388515
F 11.3,77.50022433,29.45840547,3-14-2023 7:22:51,11,70,21.3,244,222.7,GW,shallow tubewell,village,village shallow,41905,4478.3,,1389.0,7.26,26.5,,,shallow tubewell approx. 70 feet deep. Water used for all purposes including drinking. sample F11.3. Located in the middle of village on a small inner courtyard.,6.79,1491.0,954.24,642.175,351.8,125.357,63.365,79.976,0.131,0.139,105.76,12.79,125.22,60.84,0.435,12.4,11.88,81.14887601,5.177348572,0.616143202,0.085645862,21.81154025,38.96267463,0.166241333,0.828270323,0.884293025,4.61423996,0.117368991,0.139180165,859.2445428,0.025264932,265.056081,0.213161885,36.56448308,-7.03,-45.35,1,13.26941644,16.2068462,9.965407744785926
